,WorkerId,Language,Word,URL,Gender,Native Language,Years Spoken,Number of Languages Spoken,Pronunciations
0,AAFAR49RN5TS7,Spanish,la,https://vocaroo.com/i/s0Swsq3DE22G,2,E,O,2,"('la', 'la', 'la')"
1,AAFAR49RN5TS7,Spanish,dos,https://vocaroo.com/i/s1vN59WpbpmF,2,E,O,2,"('tos', 'tos', 'todos')"
2,AAFAR49RN5TS7,Spanish,esa,https://vocaroo.com/i/s0fj5zZLlFT0,2,E,O,2,"('esa', 'esa', 'esa')"
3,AAFAR49RN5TS7,Spanish,nada,https://vocaroo.com/i/s0DfI5EYtEeZ,2,E,O,2,"('ala', 'nada', 'nada')"
4,AAFAR49RN5TS7,Spanish,unos,https://vocaroo.com/i/s1wSVS5GVrTu,2,E,O,2,"('unos', 'unos', 'unos')"
5,AAFAR49RN5TS7,Spanish,internacional,https://vocaroo.com/i/s05UPveLnc6X,2,E,O,2,"('internacional', 'internacional', 'internacional')"
6,AAFAR49RN5TS7,Spanish,pública,https://vocaroo.com/i/s0HU3nGSd2pr,2,E,O,2,"('publica', 'publica', 'publica')"
7,AAFAR49RN5TS7,Spanish,segunda,https://vocaroo.com/i/s1tL4nabZrIV,2,E,O,2,"('segunda', 'segunda', 'segunda')"
8,AAFAR49RN5TS7,Spanish,encuentro,https://vocaroo.com/i/s1KcMpaU3gZs,2,E,O,2,"('encuentra', 'encuentra', 'encuentra')"
9,AAFAR49RN5TS7,Spanish,acceso,https://vocaroo.com/i/s0V9WWKcuG8p,2,E,O,2,"('acceso', 'acceso', 'acceso')"
10,AAFAR49RN5TS7,Spanish,y,https://vocaroo.com/i/s1JrHHZuD7Q5,2,E,O,2,"('y', 'y', 'i')"
11,AAFAR49RN5TS7,Spanish,parte,https://vocaroo.com/i/s0ThlTaPoUoO,2,E,O,2,"('arte', 'parte', 'parte')"
12,AAFAR49RN5TS7,Spanish,mundo,https://vocaroo.com/i/s1kmNd49fyaQ,2,E,O,2,"('mundo', 'mundo', 'mundo')"
13,AAFAR49RN5TS7,Spanish,pueden,https://vocaroo.com/i/s0TRZDcvz2ni,2,E,O,2,"('pueden', 'pueden', 'pueden')"
14,AAFAR49RN5TS7,Spanish,estar,https://vocaroo.com/i/s0Gi7VXOVm54,2,E,O,2,"('estar', 'estar', 'estar')"
15,AAFAR49RN5TS7,Spanish,niños,https://vocaroo.com/i/s0KeMrPuzC4u,2,E,O,2,"('niños', 'niños', 'niños')"
16,AAFAR49RN5TS7,Spanish,atención,https://vocaroo.com/i/s05UlzZrCTDA,2,E,O,2,"('atencion', 'atencion', 'atención')"
17,AAFAR49RN5TS7,Spanish,paso,https://vocaroo.com/i/s0SFSSna6Xll,2,E,O,2,"('paso', 'paso', 'paso')"
